source,target
GEORGES BATROC,THE SMITHSONIAN NARRATOR
SCUDDER,THE SMITHSONIAN NARRATOR
SHIELD AGENT #2,THE SMITHSONIAN NARRATOR
COM TECH #2,THE SMITHSONIAN NARRATOR
STRIKE AGENT,THE SMITHSONIAN NARRATOR
RENATA,THE SMITHSONIAN NARRATOR
FEMALE WAR VETERAN,THE SMITHSONIAN NARRATOR
COMMITTEE GENERAL,THE SMITHSONIAN NARRATOR
MALE NURSE,THE SMITHSONIAN NARRATOR
FRENCH PIRATE,THE SMITHSONIAN NARRATOR
CHARLIE XO,THE SMITHSONIAN NARRATOR
COM TECH #1,THE SMITHSONIAN NARRATOR
APPLE EMPLOYEE,THE SMITHSONIAN NARRATOR
COUNCILMAN SINGH,THE SMITHSONIAN NARRATOR
SERGEANT DUFFY,THE SMITHSONIAN NARRATOR
CHARLIE WEAPONS TECH,THE SMITHSONIAN NARRATOR
PILOT,THE SMITHSONIAN NARRATOR
FRENCH PIRATE #1,THE SMITHSONIAN NARRATOR
COMPUTER,THE SMITHSONIAN NARRATOR
SHIELD TECH,THE SMITHSONIAN NARRATOR
DOCTOR,THE SMITHSONIAN NARRATOR
DR. LIST,THE SMITHSONIAN NARRATOR
COUNCILMAN ROCKWELL,THE SMITHSONIAN NARRATOR
SHIELD COMPUTER,THE SMITHSONIAN NARRATOR
FURY'S CAR,THE SMITHSONIAN NARRATOR
SHIELD AGENT,THE SMITHSONIAN NARRATOR
BARON WOLFGANG VON STRUCKER,THE SMITHSONIAN NARRATOR
JASPER SITWELL,THE SMITHSONIAN NARRATOR
SENATOR STERN,THE SMITHSONIAN NARRATOR
SHARON CARTER,THE SMITHSONIAN NARRATOR
DR. ARNIM ZOLA,THE SMITHSONIAN NARRATOR
BROCK RUMLOW,THE SMITHSONIAN NARRATOR
ALEXANDER PIERCE,THE SMITHSONIAN NARRATOR
MARIA HILL,THE SMITHSONIAN NARRATOR
PEGGY CARTER,THE SMITHSONIAN NARRATOR
BUCKY BARNES,THE SMITHSONIAN NARRATOR
SAM WILSON,THE SMITHSONIAN NARRATOR
NICK FURY,THE SMITHSONIAN NARRATOR
NATASHA ROMANOFF,THE SMITHSONIAN NARRATOR
STEVE ROGERS,THE SMITHSONIAN NARRATOR
25TH FLOOR STRIKE AGENT,COMMITTEE GENERAL
BAILIFF,COMMITTEE GENERAL
COM TECH #2,COMMITTEE GENERAL
CHARLIE XO,COMMITTEE GENERAL
COM TECH #1,COMMITTEE GENERAL
APPLE EMPLOYEE,COMMITTEE GENERAL
CHARLIE WEAPONS TECH,COMMITTEE GENERAL
BARON WOLFGANG VON STRUCKER,COMMITTEE GENERAL
BROCK RUMLOW,COMMITTEE GENERAL
ALEXANDER PIERCE,COMMITTEE GENERAL
BUCKY BARNES,COMMITTEE GENERAL
DURAND,FEMALE WAR VETERAN
DOCTOR #1,FEMALE WAR VETERAN
COUNCILMAN HAWLEY,FEMALE WAR VETERAN
25TH FLOOR STRIKE AGENT,FEMALE WAR VETERAN
BAILIFF,FEMALE WAR VETERAN
FEMALE NURSE,FEMALE WAR VETERAN
COUNCILMAN YEN,FEMALE WAR VETERAN
COUNCILWOMAN HAWLEY,FEMALE WAR VETERAN
COM TECH #2,FEMALE WAR VETERAN
COMMITTEE GENERAL,FEMALE WAR VETERAN
CHARLIE XO,FEMALE WAR VETERAN
COM TECH #1,FEMALE WAR VETERAN
APPLE EMPLOYEE,FEMALE WAR VETERAN
COUNCILMAN SINGH,FEMALE WAR VETERAN
CHARLIE WEAPONS TECH,FEMALE WAR VETERAN
COMPUTER,FEMALE WAR VETERAN
DOCTOR,FEMALE WAR VETERAN
DR. LIST,FEMALE WAR VETERAN
COUNCILMAN ROCKWELL,FEMALE WAR VETERAN
BARON WOLFGANG VON STRUCKER,FEMALE WAR VETERAN
DR. ARNIM ZOLA,FEMALE WAR VETERAN
BROCK RUMLOW,FEMALE WAR VETERAN
ALEXANDER PIERCE,FEMALE WAR VETERAN
BUCKY BARNES,FEMALE WAR VETERAN
DURAND,RENATA
DOCTOR #1,RENATA
JACK ROLLINS,RENATA
FRENCH PIRATE #2,RENATA
COUNCILMAN HAWLEY,RENATA
25TH FLOOR STRIKE AGENT,RENATA
QUINJET PILOT,RENATA
OLD FOOTAGE RECORDING,RENATA
BAILIFF,RENATA
FEMALE NURSE,RENATA
HYDRA DISPATCH,RENATA
COUNCILMAN YEN,RENATA
MAN ON PA,RENATA
COUNCILWOMAN HAWLEY,RENATA
GEORGES BATROC,RENATA
COM TECH #2,RENATA
FEMALE WAR VETERAN,RENATA
COMMITTEE GENERAL,RENATA
MALE NURSE,RENATA
FRENCH PIRATE,RENATA
CHARLIE XO,RENATA
COM TECH #1,RENATA
APPLE EMPLOYEE,RENATA
COUNCILMAN SINGH,RENATA
CHARLIE WEAPONS TECH,RENATA
PILOT,RENATA
FRENCH PIRATE #1,RENATA
COMPUTER,RENATA
DOCTOR,RENATA
DR. LIST,RENATA
COUNCILMAN ROCKWELL,RENATA
FURY'S CAR,RENATA
BARON WOLFGANG VON STRUCKER,RENATA
JASPER SITWELL,RENATA
DR. ARNIM ZOLA,RENATA
BROCK RUMLOW,RENATA
ALEXANDER PIERCE,RENATA
MARIA HILL,RENATA
PEGGY CARTER,RENATA
BUCKY BARNES,RENATA
NICK FURY,RENATA
NATASHA ROMANOFF,RENATA
DURAND,STRIKE AGENT
DOCTOR #1,STRIKE AGENT
SHIELD AGENT #3,STRIKE AGENT
JACK ROLLINS,STRIKE AGENT
FRENCH PIRATE #2,STRIKE AGENT
SHIELD AGENT #1,STRIKE AGENT
SMITHSONIAN GUARD,STRIKE AGENT
COUNCILMAN HAWLEY,STRIKE AGENT
25TH FLOOR STRIKE AGENT,STRIKE AGENT
QUINJET PILOT,STRIKE AGENT
OLD FOOTAGE RECORDING,STRIKE AGENT
SHIELD PILOT,STRIKE AGENT
BAILIFF,STRIKE AGENT
FEMALE NURSE,STRIKE AGENT
HYDRA DISPATCH,STRIKE AGENT
SCIENTIST #1,STRIKE AGENT
COUNCILMAN YEN,STRIKE AGENT
MAN ON PA,STRIKE AGENT
COUNCILWOMAN HAWLEY,STRIKE AGENT
GEORGES BATROC,STRIKE AGENT
SCUDDER,STRIKE AGENT
SHIELD AGENT #2,STRIKE AGENT
COM TECH #2,STRIKE AGENT
RENATA,STRIKE AGENT
FEMALE WAR VETERAN,STRIKE AGENT
COMMITTEE GENERAL,STRIKE AGENT
MALE NURSE,STRIKE AGENT
FRENCH PIRATE,STRIKE AGENT
CHARLIE XO,STRIKE AGENT
COM TECH #1,STRIKE AGENT
APPLE EMPLOYEE,STRIKE AGENT
COUNCILMAN SINGH,STRIKE AGENT
SERGEANT DUFFY,STRIKE AGENT
CHARLIE WEAPONS TECH,STRIKE AGENT
PILOT,STRIKE AGENT
FRENCH PIRATE #1,STRIKE AGENT
COMPUTER,STRIKE AGENT
SHIELD TECH,STRIKE AGENT
DOCTOR,STRIKE AGENT
DR. LIST,STRIKE AGENT
COUNCILMAN ROCKWELL,STRIKE AGENT
SHIELD COMPUTER,STRIKE AGENT
FURY'S CAR,STRIKE AGENT
SHIELD AGENT,STRIKE AGENT
BARON WOLFGANG VON STRUCKER,STRIKE AGENT
JASPER SITWELL,STRIKE AGENT
SENATOR STERN,STRIKE AGENT
SHARON CARTER,STRIKE AGENT
DR. ARNIM ZOLA,STRIKE AGENT
BROCK RUMLOW,STRIKE AGENT
ALEXANDER PIERCE,STRIKE AGENT
MARIA HILL,STRIKE AGENT
PEGGY CARTER,STRIKE AGENT
BUCKY BARNES,STRIKE AGENT
SAM WILSON,STRIKE AGENT
NICK FURY,STRIKE AGENT
NATASHA ROMANOFF,STRIKE AGENT
STEVE ROGERS,STRIKE AGENT
25TH FLOOR STRIKE AGENT,COM TECH #2
BAILIFF,COM TECH #2
CHARLIE XO,COM TECH #2
COM TECH #1,COM TECH #2
APPLE EMPLOYEE,COM TECH #2
CHARLIE WEAPONS TECH,COM TECH #2
BARON WOLFGANG VON STRUCKER,COM TECH #2
BROCK RUMLOW,COM TECH #2
ALEXANDER PIERCE,COM TECH #2
BUCKY BARNES,COM TECH #2
DURAND,SHIELD AGENT #2
DOCTOR #1,SHIELD AGENT #2
JACK ROLLINS,SHIELD AGENT #2
FRENCH PIRATE #2,SHIELD AGENT #2
SHIELD AGENT #1,SHIELD AGENT #2
COUNCILMAN HAWLEY,SHIELD AGENT #2
25TH FLOOR STRIKE AGENT,SHIELD AGENT #2
QUINJET PILOT,SHIELD AGENT #2
OLD FOOTAGE RECORDING,SHIELD AGENT #2
BAILIFF,SHIELD AGENT #2
FEMALE NURSE,SHIELD AGENT #2
HYDRA DISPATCH,SHIELD AGENT #2
SCIENTIST #1,SHIELD AGENT #2
COUNCILMAN YEN,SHIELD AGENT #2
MAN ON PA,SHIELD AGENT #2
COUNCILWOMAN HAWLEY,SHIELD AGENT #2
GEORGES BATROC,SHIELD AGENT #2
SCUDDER,SHIELD AGENT #2
COM TECH #2,SHIELD AGENT #2
RENATA,SHIELD AGENT #2
FEMALE WAR VETERAN,SHIELD AGENT #2
COMMITTEE GENERAL,SHIELD AGENT #2
MALE NURSE,SHIELD AGENT #2
FRENCH PIRATE,SHIELD AGENT #2
CHARLIE XO,SHIELD AGENT #2
COM TECH #1,SHIELD AGENT #2
APPLE EMPLOYEE,SHIELD AGENT #2
COUNCILMAN SINGH,SHIELD AGENT #2
SERGEANT DUFFY,SHIELD AGENT #2
CHARLIE WEAPONS TECH,SHIELD AGENT #2
PILOT,SHIELD AGENT #2
FRENCH PIRATE #1,SHIELD AGENT #2
COMPUTER,SHIELD AGENT #2
DOCTOR,SHIELD AGENT #2
DR. LIST,SHIELD AGENT #2
COUNCILMAN ROCKWELL,SHIELD AGENT #2
FURY'S CAR,SHIELD AGENT #2
SHIELD AGENT,SHIELD AGENT #2
BARON WOLFGANG VON STRUCKER,SHIELD AGENT #2
JASPER SITWELL,SHIELD AGENT #2
SENATOR STERN,SHIELD AGENT #2
SHARON CARTER,SHIELD AGENT #2
DR. ARNIM ZOLA,SHIELD AGENT #2
BROCK RUMLOW,SHIELD AGENT #2
ALEXANDER PIERCE,SHIELD AGENT #2
MARIA HILL,SHIELD AGENT #2
PEGGY CARTER,SHIELD AGENT #2
BUCKY BARNES,SHIELD AGENT #2
SAM WILSON,SHIELD AGENT #2
NICK FURY,SHIELD AGENT #2
NATASHA ROMANOFF,SHIELD AGENT #2
DURAND,SCUDDER
DOCTOR #1,SCUDDER
JACK ROLLINS,SCUDDER
FRENCH PIRATE #2,SCUDDER
COUNCILMAN HAWLEY,SCUDDER
25TH FLOOR STRIKE AGENT,SCUDDER
QUINJET PILOT,SCUDDER
OLD FOOTAGE RECORDING,SCUDDER
BAILIFF,SCUDDER
FEMALE NURSE,SCUDDER
HYDRA DISPATCH,SCUDDER
SCIENTIST #1,SCUDDER
COUNCILMAN YEN,SCUDDER
MAN ON PA,SCUDDER
COUNCILWOMAN HAWLEY,SCUDDER
GEORGES BATROC,SCUDDER
COM TECH #2,SCUDDER
RENATA,SCUDDER
FEMALE WAR VETERAN,SCUDDER
COMMITTEE GENERAL,SCUDDER
MALE NURSE,SCUDDER
FRENCH PIRATE,SCUDDER
CHARLIE XO,SCUDDER
COM TECH #1,SCUDDER
APPLE EMPLOYEE,SCUDDER
COUNCILMAN SINGH,SCUDDER
CHARLIE WEAPONS TECH,SCUDDER
PILOT,SCUDDER
FRENCH PIRATE #1,SCUDDER
COMPUTER,SCUDDER
DOCTOR,SCUDDER
DR. LIST,SCUDDER
COUNCILMAN ROCKWELL,SCUDDER
FURY'S CAR,SCUDDER
BARON WOLFGANG VON STRUCKER,SCUDDER
JASPER SITWELL,SCUDDER
DR. ARNIM ZOLA,SCUDDER
BROCK RUMLOW,SCUDDER
ALEXANDER PIERCE,SCUDDER
MARIA HILL,SCUDDER
PEGGY CARTER,SCUDDER
BUCKY BARNES,SCUDDER
SAM WILSON,SCUDDER
NICK FURY,SCUDDER
NATASHA ROMANOFF,SCUDDER
DURAND,GEORGES BATROC
DOCTOR #1,GEORGES BATROC
FRENCH PIRATE #2,GEORGES BATROC
COUNCILMAN HAWLEY,GEORGES BATROC
25TH FLOOR STRIKE AGENT,GEORGES BATROC
BAILIFF,GEORGES BATROC
FEMALE NURSE,GEORGES BATROC
COUNCILMAN YEN,GEORGES BATROC
COUNCILWOMAN HAWLEY,GEORGES BATROC
COM TECH #2,GEORGES BATROC
FEMALE WAR VETERAN,GEORGES BATROC
COMMITTEE GENERAL,GEORGES BATROC
FRENCH PIRATE,GEORGES BATROC
CHARLIE XO,GEORGES BATROC
COM TECH #1,GEORGES BATROC
APPLE EMPLOYEE,GEORGES BATROC
COUNCILMAN SINGH,GEORGES BATROC
CHARLIE WEAPONS TECH,GEORGES BATROC
FRENCH PIRATE #1,GEORGES BATROC
COMPUTER,GEORGES BATROC
DOCTOR,GEORGES BATROC
DR. LIST,GEORGES BATROC
COUNCILMAN ROCKWELL,GEORGES BATROC
FURY'S CAR,GEORGES BATROC
BARON WOLFGANG VON STRUCKER,GEORGES BATROC
DR. ARNIM ZOLA,GEORGES BATROC
BROCK RUMLOW,GEORGES BATROC
ALEXANDER PIERCE,GEORGES BATROC
BUCKY BARNES,GEORGES BATROC
COUNCILMAN HAWLEY,COUNCILWOMAN HAWLEY
25TH FLOOR STRIKE AGENT,COUNCILWOMAN HAWLEY
BAILIFF,COUNCILWOMAN HAWLEY
COUNCILMAN YEN,COUNCILWOMAN HAWLEY
COM TECH #2,COUNCILWOMAN HAWLEY
COMMITTEE GENERAL,COUNCILWOMAN HAWLEY
CHARLIE XO,COUNCILWOMAN HAWLEY
COM TECH #1,COUNCILWOMAN HAWLEY
APPLE EMPLOYEE,COUNCILWOMAN HAWLEY
COUNCILMAN SINGH,COUNCILWOMAN HAWLEY
CHARLIE WEAPONS TECH,COUNCILWOMAN HAWLEY
COMPUTER,COUNCILWOMAN HAWLEY
COUNCILMAN ROCKWELL,COUNCILWOMAN HAWLEY
BARON WOLFGANG VON STRUCKER,COUNCILWOMAN HAWLEY
BROCK RUMLOW,COUNCILWOMAN HAWLEY
ALEXANDER PIERCE,COUNCILWOMAN HAWLEY
BUCKY BARNES,COUNCILWOMAN HAWLEY
STRIKE AGENT #3,WOMAN ON PA
STRIKE AGENT #1,WOMAN ON PA
DURAND,WOMAN ON PA
STRIKE AGENT #2,WOMAN ON PA
DOCTOR #1,WOMAN ON PA
SHIELD AGENT #3,WOMAN ON PA
JACK ROLLINS,WOMAN ON PA
FRENCH PIRATE #2,WOMAN ON PA
SHIELD AGENT #1,WOMAN ON PA
SMITHSONIAN GUARD,WOMAN ON PA
COUNCILMAN HAWLEY,WOMAN ON PA
TEXT MESSAGE,WOMAN ON PA
25TH FLOOR STRIKE AGENT,WOMAN ON PA
QUINJET PILOT,WOMAN ON PA
OLD FOOTAGE RECORDING,WOMAN ON PA
SHIELD PILOT,WOMAN ON PA
BAILIFF,WOMAN ON PA
FEMALE NURSE,WOMAN ON PA
HYDRA DISPATCH,WOMAN ON PA
SCIENTIST #1,WOMAN ON PA
COUNCILMAN YEN,WOMAN ON PA
MAN ON PA,WOMAN ON PA
COUNCILWOMAN HAWLEY,WOMAN ON PA
GEORGES BATROC,WOMAN ON PA
SCUDDER,WOMAN ON PA
SHIELD AGENT #2,WOMAN ON PA
COM TECH #2,WOMAN ON PA
STRIKE AGENT,WOMAN ON PA
RENATA,WOMAN ON PA
FEMALE WAR VETERAN,WOMAN ON PA
COMMITTEE GENERAL,WOMAN ON PA
THE SMITHSONIAN NARRATOR,WOMAN ON PA
MALE NURSE,WOMAN ON PA
FRENCH PIRATE,WOMAN ON PA
CHARLIE XO,WOMAN ON PA
COM TECH #1,WOMAN ON PA
APPLE EMPLOYEE,WOMAN ON PA
COUNCILMAN SINGH,WOMAN ON PA
SERGEANT DUFFY,WOMAN ON PA
CHARLIE WEAPONS TECH,WOMAN ON PA
PILOT,WOMAN ON PA
FRENCH PIRATE #1,WOMAN ON PA
COMPUTER,WOMAN ON PA
SHIELD TECH,WOMAN ON PA
DOCTOR,WOMAN ON PA
DR. LIST,WOMAN ON PA
COUNCILMAN ROCKWELL,WOMAN ON PA
SHIELD COMPUTER,WOMAN ON PA
FURY'S CAR,WOMAN ON PA
SHIELD AGENT,WOMAN ON PA
BARON WOLFGANG VON STRUCKER,WOMAN ON PA
JASPER SITWELL,WOMAN ON PA
SENATOR STERN,WOMAN ON PA
SHARON CARTER,WOMAN ON PA
DR. ARNIM ZOLA,WOMAN ON PA
BROCK RUMLOW,WOMAN ON PA
ALEXANDER PIERCE,WOMAN ON PA
MARIA HILL,WOMAN ON PA
PEGGY CARTER,WOMAN ON PA
BUCKY BARNES,WOMAN ON PA
SAM WILSON,WOMAN ON PA
NICK FURY,WOMAN ON PA
NATASHA ROMANOFF,WOMAN ON PA
STEVE ROGERS,WOMAN ON PA
DURAND,MAN ON PA
DOCTOR #1,MAN ON PA
JACK ROLLINS,MAN ON PA
FRENCH PIRATE #2,MAN ON PA
COUNCILMAN HAWLEY,MAN ON PA
25TH FLOOR STRIKE AGENT,MAN ON PA
BAILIFF,MAN ON PA
FEMALE NURSE,MAN ON PA
HYDRA DISPATCH,MAN ON PA
COUNCILMAN YEN,MAN ON PA
COUNCILWOMAN HAWLEY,MAN ON PA
GEORGES BATROC,MAN ON PA
COM TECH #2,MAN ON PA
FEMALE WAR VETERAN,MAN ON PA
COMMITTEE GENERAL,MAN ON PA
MALE NURSE,MAN ON PA
FRENCH PIRATE,MAN ON PA
CHARLIE XO,MAN ON PA
COM TECH #1,MAN ON PA
APPLE EMPLOYEE,MAN ON PA
COUNCILMAN SINGH,MAN ON PA
CHARLIE WEAPONS TECH,MAN ON PA
FRENCH PIRATE #1,MAN ON PA
COMPUTER,MAN ON PA
DOCTOR,MAN ON PA
DR. LIST,MAN ON PA
COUNCILMAN ROCKWELL,MAN ON PA
FURY'S CAR,MAN ON PA
BARON WOLFGANG VON STRUCKER,MAN ON PA
JASPER SITWELL,MAN ON PA
DR. ARNIM ZOLA,MAN ON PA
BROCK RUMLOW,MAN ON PA
ALEXANDER PIERCE,MAN ON PA
BUCKY BARNES,MAN ON PA
COUNCILMAN HAWLEY,COUNCILMAN YEN
25TH FLOOR STRIKE AGENT,COUNCILMAN YEN
BAILIFF,COUNCILMAN YEN
COM TECH #2,COUNCILMAN YEN
COMMITTEE GENERAL,COUNCILMAN YEN
CHARLIE XO,COUNCILMAN YEN
COM TECH #1,COUNCILMAN YEN
APPLE EMPLOYEE,COUNCILMAN YEN
COUNCILMAN SINGH,COUNCILMAN YEN
CHARLIE WEAPONS TECH,COUNCILMAN YEN
COMPUTER,COUNCILMAN YEN
COUNCILMAN ROCKWELL,COUNCILMAN YEN
BARON WOLFGANG VON STRUCKER,COUNCILMAN YEN
BROCK RUMLOW,COUNCILMAN YEN
ALEXANDER PIERCE,COUNCILMAN YEN
BUCKY BARNES,COUNCILMAN YEN
DURAND,SCIENTIST #1
DOCTOR #1,SCIENTIST #1
JACK ROLLINS,SCIENTIST #1
FRENCH PIRATE #2,SCIENTIST #1
COUNCILMAN HAWLEY,SCIENTIST #1
25TH FLOOR STRIKE AGENT,SCIENTIST #1
QUINJET PILOT,SCIENTIST #1
OLD FOOTAGE RECORDING,SCIENTIST #1
BAILIFF,SCIENTIST #1
FEMALE NURSE,SCIENTIST #1
HYDRA DISPATCH,SCIENTIST #1
COUNCILMAN YEN,SCIENTIST #1
MAN ON PA,SCIENTIST #1
COUNCILWOMAN HAWLEY,SCIENTIST #1
GEORGES BATROC,SCIENTIST #1
COM TECH #2,SCIENTIST #1
RENATA,SCIENTIST #1
FEMALE WAR VETERAN,SCIENTIST #1
COMMITTEE GENERAL,SCIENTIST #1
MALE NURSE,SCIENTIST #1
FRENCH PIRATE,SCIENTIST #1
CHARLIE XO,SCIENTIST #1
COM TECH #1,SCIENTIST #1
APPLE EMPLOYEE,SCIENTIST #1
COUNCILMAN SINGH,SCIENTIST #1
CHARLIE WEAPONS TECH,SCIENTIST #1
PILOT,SCIENTIST #1
FRENCH PIRATE #1,SCIENTIST #1
COMPUTER,SCIENTIST #1
DOCTOR,SCIENTIST #1
DR. LIST,SCIENTIST #1
COUNCILMAN ROCKWELL,SCIENTIST #1
FURY'S CAR,SCIENTIST #1
BARON WOLFGANG VON STRUCKER,SCIENTIST #1
JASPER SITWELL,SCIENTIST #1
DR. ARNIM ZOLA,SCIENTIST #1
BROCK RUMLOW,SCIENTIST #1
ALEXANDER PIERCE,SCIENTIST #1
MARIA HILL,SCIENTIST #1
PEGGY CARTER,SCIENTIST #1
BUCKY BARNES,SCIENTIST #1
SAM WILSON,SCIENTIST #1
NICK FURY,SCIENTIST #1
NATASHA ROMANOFF,SCIENTIST #1
DURAND,HYDRA DISPATCH
DOCTOR #1,HYDRA DISPATCH
FRENCH PIRATE #2,HYDRA DISPATCH
COUNCILMAN HAWLEY,HYDRA DISPATCH
25TH FLOOR STRIKE AGENT,HYDRA DISPATCH
BAILIFF,HYDRA DISPATCH
FEMALE NURSE,HYDRA DISPATCH
COUNCILMAN YEN,HYDRA DISPATCH
COUNCILWOMAN HAWLEY,HYDRA DISPATCH
GEORGES BATROC,HYDRA DISPATCH
COM TECH #2,HYDRA DISPATCH
FEMALE WAR VETERAN,HYDRA DISPATCH
COMMITTEE GENERAL,HYDRA DISPATCH
FRENCH PIRATE,HYDRA DISPATCH
CHARLIE XO,HYDRA DISPATCH
COM TECH #1,HYDRA DISPATCH
APPLE EMPLOYEE,HYDRA DISPATCH
COUNCILMAN SINGH,HYDRA DISPATCH
CHARLIE WEAPONS TECH,HYDRA DISPATCH
FRENCH PIRATE #1,HYDRA DISPATCH
COMPUTER,HYDRA DISPATCH
DOCTOR,HYDRA DISPATCH
DR. LIST,HYDRA DISPATCH
COUNCILMAN ROCKWELL,HYDRA DISPATCH
FURY'S CAR,HYDRA DISPATCH
BARON WOLFGANG VON STRUCKER,HYDRA DISPATCH
DR. ARNIM ZOLA,HYDRA DISPATCH
BROCK RUMLOW,HYDRA DISPATCH
ALEXANDER PIERCE,HYDRA DISPATCH
BUCKY BARNES,HYDRA DISPATCH
DURAND,FEMALE NURSE
DOCTOR #1,FEMALE NURSE
COUNCILMAN HAWLEY,FEMALE NURSE
25TH FLOOR STRIKE AGENT,FEMALE NURSE
BAILIFF,FEMALE NURSE
COUNCILMAN YEN,FEMALE NURSE
COUNCILWOMAN HAWLEY,FEMALE NURSE
COM TECH #2,FEMALE NURSE
COMMITTEE GENERAL,FEMALE NURSE
CHARLIE XO,FEMALE NURSE
COM TECH #1,FEMALE NURSE
APPLE EMPLOYEE,FEMALE NURSE
COUNCILMAN SINGH,FEMALE NURSE
CHARLIE WEAPONS TECH,FEMALE NURSE
COMPUTER,FEMALE NURSE
DOCTOR,FEMALE NURSE
DR. LIST,FEMALE NURSE
COUNCILMAN ROCKWELL,FEMALE NURSE
BARON WOLFGANG VON STRUCKER,FEMALE NURSE
DR. ARNIM ZOLA,FEMALE NURSE
BROCK RUMLOW,FEMALE NURSE
ALEXANDER PIERCE,FEMALE NURSE
BUCKY BARNES,FEMALE NURSE
25TH FLOOR STRIKE AGENT,BAILIFF
APPLE EMPLOYEE,BAILIFF
ALEXANDER PIERCE,BAILIFF
DURAND,SHIELD PILOT
DOCTOR #1,SHIELD PILOT
SHIELD AGENT #3,SHIELD PILOT
JACK ROLLINS,SHIELD PILOT
FRENCH PIRATE #2,SHIELD PILOT
SHIELD AGENT #1,SHIELD PILOT
COUNCILMAN HAWLEY,SHIELD PILOT
25TH FLOOR STRIKE AGENT,SHIELD PILOT
QUINJET PILOT,SHIELD PILOT
OLD FOOTAGE RECORDING,SHIELD PILOT
BAILIFF,SHIELD PILOT
FEMALE NURSE,SHIELD PILOT
HYDRA DISPATCH,SHIELD PILOT
SCIENTIST #1,SHIELD PILOT
COUNCILMAN YEN,SHIELD PILOT
MAN ON PA,SHIELD PILOT
COUNCILWOMAN HAWLEY,SHIELD PILOT
GEORGES BATROC,SHIELD PILOT
SCUDDER,SHIELD PILOT
SHIELD AGENT #2,SHIELD PILOT
COM TECH #2,SHIELD PILOT
RENATA,SHIELD PILOT
FEMALE WAR VETERAN,SHIELD PILOT
COMMITTEE GENERAL,SHIELD PILOT
MALE NURSE,SHIELD PILOT
FRENCH PIRATE,SHIELD PILOT
CHARLIE XO,SHIELD PILOT
COM TECH #1,SHIELD PILOT
APPLE EMPLOYEE,SHIELD PILOT
COUNCILMAN SINGH,SHIELD PILOT
SERGEANT DUFFY,SHIELD PILOT
CHARLIE WEAPONS TECH,SHIELD PILOT
PILOT,SHIELD PILOT
FRENCH PIRATE #1,SHIELD PILOT
COMPUTER,SHIELD PILOT
DOCTOR,SHIELD PILOT
DR. LIST,SHIELD PILOT
COUNCILMAN ROCKWELL,SHIELD PILOT
SHIELD COMPUTER,SHIELD PILOT
FURY'S CAR,SHIELD PILOT
SHIELD AGENT,SHIELD PILOT
BARON WOLFGANG VON STRUCKER,SHIELD PILOT
JASPER SITWELL,SHIELD PILOT
SENATOR STERN,SHIELD PILOT
SHARON CARTER,SHIELD PILOT
DR. ARNIM ZOLA,SHIELD PILOT
BROCK RUMLOW,SHIELD PILOT
ALEXANDER PIERCE,SHIELD PILOT
MARIA HILL,SHIELD PILOT
PEGGY CARTER,SHIELD PILOT
BUCKY BARNES,SHIELD PILOT
SAM WILSON,SHIELD PILOT
NICK FURY,SHIELD PILOT
NATASHA ROMANOFF,SHIELD PILOT
DURAND,OLD FOOTAGE RECORDING
DOCTOR #1,OLD FOOTAGE RECORDING
JACK ROLLINS,OLD FOOTAGE RECORDING
FRENCH PIRATE #2,OLD FOOTAGE RECORDING
COUNCILMAN HAWLEY,OLD FOOTAGE RECORDING
25TH FLOOR STRIKE AGENT,OLD FOOTAGE RECORDING
BAILIFF,OLD FOOTAGE RECORDING
FEMALE NURSE,OLD FOOTAGE RECORDING
HYDRA DISPATCH,OLD FOOTAGE RECORDING
COUNCILMAN YEN,OLD FOOTAGE RECORDING
MAN ON PA,OLD FOOTAGE RECORDING
COUNCILWOMAN HAWLEY,OLD FOOTAGE RECORDING
GEORGES BATROC,OLD FOOTAGE RECORDING
COM TECH #2,OLD FOOTAGE RECORDING
FEMALE WAR VETERAN,OLD FOOTAGE RECORDING
COMMITTEE GENERAL,OLD FOOTAGE RECORDING
MALE NURSE,OLD FOOTAGE RECORDING
FRENCH PIRATE,OLD FOOTAGE RECORDING
CHARLIE XO,OLD FOOTAGE RECORDING
COM TECH #1,OLD FOOTAGE RECORDING
APPLE EMPLOYEE,OLD FOOTAGE RECORDING
COUNCILMAN SINGH,OLD FOOTAGE RECORDING
CHARLIE WEAPONS TECH,OLD FOOTAGE RECORDING
FRENCH PIRATE #1,OLD FOOTAGE RECORDING
COMPUTER,OLD FOOTAGE RECORDING
DOCTOR,OLD FOOTAGE RECORDING
DR. LIST,OLD FOOTAGE RECORDING
COUNCILMAN ROCKWELL,OLD FOOTAGE RECORDING
FURY'S CAR,OLD FOOTAGE RECORDING
BARON WOLFGANG VON STRUCKER,OLD FOOTAGE RECORDING
JASPER SITWELL,OLD FOOTAGE RECORDING
DR. ARNIM ZOLA,OLD FOOTAGE RECORDING
BROCK RUMLOW,OLD FOOTAGE RECORDING
ALEXANDER PIERCE,OLD FOOTAGE RECORDING
MARIA HILL,OLD FOOTAGE RECORDING
BUCKY BARNES,OLD FOOTAGE RECORDING
NICK FURY,OLD FOOTAGE RECORDING
NATASHA ROMANOFF,OLD FOOTAGE RECORDING
DURAND,QUINJET PILOT
DOCTOR #1,QUINJET PILOT
JACK ROLLINS,QUINJET PILOT
FRENCH PIRATE #2,QUINJET PILOT
