character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie,UID
KORG,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,31,618,2,19,15,35451871-73b8-11ed-ba7b-84fdd1f90de3
HERMAN SCHULTZ,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,29,177,1,6,29,35451909-73b8-11ed-ba7b-84fdd1f90de3
KURT,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,140,1,5,28,354519a0-73b8-11ed-ba7b-84fdd1f90de3
CASSIE LANG,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,117,2,4,13,35451a35-73b8-11ed-ba7b-84fdd1f90de3
SECRETARY ROSS,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,24,458,2,19,12,35451ad3-73b8-11ed-ba7b-84fdd1f90de3
MALEKITH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,329,1,13,24,35451b6a-73b8-11ed-ba7b-84fdd1f90de3
PIETRO MAXIMOFF,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,230,1,9,24,35451c00-73b8-11ed-ba7b-84fdd1f90de3
FLASH THOMPSON,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,220,1,9,24,35451c9e-73b8-11ed-ba7b-84fdd1f90de3
GROOT,0,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,78,3,3,8,35451d38-73b8-11ed-ba7b-84fdd1f90de3
EBONY MAW,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,316,2,13,11,35451de5-73b8-11ed-ba7b-84fdd1f90de3
M'BAKU,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,23,281,2,12,11,35451e99-73b8-11ed-ba7b-84fdd1f90de3
RICHARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,215,1,9,23,35451f3f-73b8-11ed-ba7b-84fdd1f90de3
AARON DAVIS,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,207,1,9,22,35451fd7-73b8-11ed-ba7b-84fdd1f90de3
IAN BOOTHBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,130,1,5,22,3545206c-73b8-11ed-ba7b-84fdd1f90de3
JASPER SITWELL,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,303,1,14,21,35452149-73b8-11ed-ba7b-84fdd1f90de3
ZURI,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,263,1,12,21,354521e8-73b8-11ed-ba7b-84fdd1f90de3
RAMONDA,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,166,1,7,21,3545227f-73b8-11ed-ba7b-84fdd1f90de3
ERIC SAVIN,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21,163,1,7,21,35452316-73b8-11ed-ba7b-84fdd1f90de3
BAD NEBULA,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,113,1,5,21,354523ce-73b8-11ed-ba7b-84fdd1f90de3
W'KABI,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,256,1,12,20,3545246c-73b8-11ed-ba7b-84fdd1f90de3
WENDY LAWSON,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,20,196,1,9,20,3545250c-73b8-11ed-ba7b-84fdd1f90de3
GARY,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,20,156,1,7,20,354525a6-73b8-11ed-ba7b-84fdd1f90de3
MAJOR ALLEN,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,20,137,2,6,10,3545263d-73b8-11ed-ba7b-84fdd1f90de3
LAUFEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,266,1,14,19,354526d7-73b8-11ed-ba7b-84fdd1f90de3
MONICA RAMBEAU,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,264,1,13,19,3545276d-73b8-11ed-ba7b-84fdd1f90de3
N'JOBU,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,263,1,14,18,3545283a-73b8-11ed-ba7b-84fdd1f90de3
LAURA BARTON,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,193,2,10,9,354528db-73b8-11ed-ba7b-84fdd1f90de3
TREVOR SLATTERY,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,273,1,16,17,35452977-73b8-11ed-ba7b-84fdd1f90de3
TASERFACE,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,236,1,13,17,35452a1b-73b8-11ed-ba7b-84fdd1f90de3
DR. HELEN CHO,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,233,1,13,17,35452ade-73b8-11ed-ba7b-84fdd1f90de3
MAN,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,1,17,99,4,5,4,35452b7b-73b8-11ed-ba7b-84fdd1f90de3
THE MANDARIN,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,427,1,26,16,35452c10-73b8-11ed-ba7b-84fdd1f90de3
AYESHA,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,272,1,17,16,35452cae-73b8-11ed-ba7b-84fdd1f90de3
ANCIENT ONE,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,264,1,16,16,35452d51-73b8-11ed-ba7b-84fdd1f90de3
BARON WOLFGANG VON STRUCKER,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,254,2,15,8,35452de8-73b8-11ed-ba7b-84fdd1f90de3
SECURITY GUARD,0,0,0,0,2,0,0,0,0,0,0,2,0,0,12,0,0,0,16,215,3,13,5,35452e85-73b8-11ed-ba7b-84fdd1f90de3
JACKSON BRICE,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,130,1,8,16,35452f1d-73b8-11ed-ba7b-84fdd1f90de3
T'CHAKA,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,15,291,2,19,7,35452fb3-73b8-11ed-ba7b-84fdd1f90de3
SKURGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,250,1,16,15,35453054-73b8-11ed-ba7b-84fdd1f90de3
KRAGLIN,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,205,1,13,15,3545310b-73b8-11ed-ba7b-84fdd1f90de3
EITRI,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,166,1,11,15,354531af-73b8-11ed-ba7b-84fdd1f90de3
MR. HARRINGTON,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,159,1,10,15,35453245-73b8-11ed-ba7b-84fdd1f90de3
MAGGIE LANG,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,139,1,9,15,35453368-73b8-11ed-ba7b-84fdd1f90de3
HOGUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,15,101,3,6,5,354533f8-73b8-11ed-ba7b-84fdd1f90de3
SUPREME INTELLIGENCE,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,224,1,16,14,35453488-73b8-11ed-ba7b-84fdd1f90de3
"MICHELLE ""MJ"" JONES",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,139,1,9,14,35453526-73b8-11ed-ba7b-84fdd1f90de3
SHIELD AGENT,0,0,0,0,0,0,5,4,0,0,0,1,0,0,2,2,0,0,14,111,5,7,2,354535bc-73b8-11ed-ba7b-84fdd1f90de3
FURY'S CAR,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,90,1,6,14,35453654-73b8-11ed-ba7b-84fdd1f90de3
SURTUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,146,1,11,13,354536f3-73b8-11ed-ba7b-84fdd1f90de3
STAN LEE,0,2,1,1,1,1,0,0,1,1,0,1,0,2,1,0,1,0,13,123,11,9,1,354537a7-73b8-11ed-ba7b-84fdd1f90de3
DIRECTOR,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,13,111,2,8,6,35453845-73b8-11ed-ba7b-84fdd1f90de3
MORGAN STARK,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,53,1,4,13,354538df-73b8-11ed-ba7b-84fdd1f90de3
SHIELD COMPUTER,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,38,1,2,13,35454922-73b8-11ed-ba7b-84fdd1f90de3
RAZA,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,227,1,18,12,35454a3f-73b8-11ed-ba7b-84fdd1f90de3
MINN-ERVA,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,74,1,6,12,35454ae1-73b8-11ed-ba7b-84fdd1f90de3
DORIS TOOMES,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,63,1,5,12,35454b89-73b8-11ed-ba7b-84fdd1f90de3
ACTOR THOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,59,1,4,12,35454c21-73b8-11ed-ba7b-84fdd1f90de3
SENATOR BRANDT,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,171,1,15,11,35454cb6-73b8-11ed-ba7b-84fdd1f90de3
COUNCILMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,135,1,12,11,35454d5c-73b8-11ed-ba7b-84fdd1f90de3
WONG,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,103,2,9,5,35454df6-73b8-11ed-ba7b-84fdd1f90de3
PRESIDENT ELLIS,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,93,1,8,11,35454e8f-73b8-11ed-ba7b-84fdd1f90de3
ACTOR LOKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,77,1,7,11,35454f26-73b8-11ed-ba7b-84fdd1f90de3
DALE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141,1,14,10,35454fc2-73b8-11ed-ba7b-84fdd1f90de3
JAPSER SITWELL,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,10,85,3,8,3,35455058-73b8-11ed-ba7b-84fdd1f90de3
BRANDT,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,74,1,7,10,3545511f-73b8-11ed-ba7b-84fdd1f90de3
KORATH,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,73,1,7,10,354551b9-73b8-11ed-ba7b-84fdd1f90de3
CHARLES MURPHY,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,67,1,6,10,35455259-73b8-11ed-ba7b-84fdd1f90de3
DUM DUM DUGAN,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,62,1,6,10,354552f0-73b8-11ed-ba7b-84fdd1f90de3
MR. DELMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,59,1,5,10,35455382-73b8-11ed-ba7b-84fdd1f90de3
