character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie,UID
GSG-9 SOLDIER,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,5,3,3545f7a3-73b8-11ed-ba7b-84fdd1f90de3
MOTHER,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,16,1,5,3,3545f83e-73b8-11ed-ba7b-84fdd1f90de3
OAKLAND KID #2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,5,3,3545f8d4-73b8-11ed-ba7b-84fdd1f90de3
MADDIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,1,5,3,3545f96f-73b8-11ed-ba7b-84fdd1f90de3
AGENT GARRETT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,1,4,3,3545fa12-73b8-11ed-ba7b-84fdd1f90de3
CONNIE,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,13,1,4,3,3545faae-73b8-11ed-ba7b-84fdd1f90de3
DORA MILAJE 1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,4,3,3545fb43-73b8-11ed-ba7b-84fdd1f90de3
PRATT,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,1,4,3,3545fbd5-73b8-11ed-ba7b-84fdd1f90de3
ALPHA GUARD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,1,4,3,3545fc6f-73b8-11ed-ba7b-84fdd1f90de3
ERIN,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,12,1,4,3,3545fd06-73b8-11ed-ba7b-84fdd1f90de3
COM TECH #2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,1,3,3,3545fd9c-73b8-11ed-ba7b-84fdd1f90de3
YOUNG BOY,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,11,1,3,3,3545fe93-73b8-11ed-ba7b-84fdd1f90de3
ACCUSER,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,1,3,3,3545ff36-73b8-11ed-ba7b-84fdd1f90de3
SALLY AVRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,1,3,3,3545ffcf-73b8-11ed-ba7b-84fdd1f90de3
SHIELD AGENT #2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,1,2,3,3546006d-73b8-11ed-ba7b-84fdd1f90de3
"BRIAN ""TINY"" MCKEEVER",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,1,2,3,35460121-73b8-11ed-ba7b-84fdd1f90de3
PA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,1,2,3,354601ba-73b8-11ed-ba7b-84fdd1f90de3
SOOTHING VOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,150,1,75,2,3546025a-73b8-11ed-ba7b-84fdd1f90de3
DODGERS ANNOUNCER,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,145,1,72,2,354602f2-73b8-11ed-ba7b-84fdd1f90de3
ZEMO'S WIFE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,48,1,24,2,3546038c-73b8-11ed-ba7b-84fdd1f90de3
NEWS ANCHOR #1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,46,1,23,2,35460423-73b8-11ed-ba7b-84fdd1f90de3
POLICE SERGEANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,46,1,23,2,354604c3-73b8-11ed-ba7b-84fdd1f90de3
SCUDDER,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,39,1,19,2,3546055e-73b8-11ed-ba7b-84fdd1f90de3
AKIHIKO,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,1,16,2,354605f3-73b8-11ed-ba7b-84fdd1f90de3
CARRIER BRIDGE TECH 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,30,1,15,2,354606a7-73b8-11ed-ba7b-84fdd1f90de3
GEORGES BATROC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,29,1,14,2,35460743-73b8-11ed-ba7b-84fdd1f90de3
EMCEE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,27,1,13,2,354607d9-73b8-11ed-ba7b-84fdd1f90de3
RONIN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,1,12,2,35460877-73b8-11ed-ba7b-84fdd1f90de3
REPORTER #2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,24,1,12,2,35460926-73b8-11ed-ba7b-84fdd1f90de3
COUNCILWOMAN HAWLEY,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,23,1,11,2,354609c1-73b8-11ed-ba7b-84fdd1f90de3
JABARI WARRIORS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,1,11,2,35460a59-73b8-11ed-ba7b-84fdd1f90de3
NEWS READER,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,23,1,11,2,35460b0f-73b8-11ed-ba7b-84fdd1f90de3
EDWIN JARVIS,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,1,11,2,35460d9b-73b8-11ed-ba7b-84fdd1f90de3
YOUNG T' CHAKA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,1,10,2,35460f6b-73b8-11ed-ba7b-84fdd1f90de3
ARMY HECKLER#1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,19,1,9,2,354610a5-73b8-11ed-ba7b-84fdd1f90de3
CONTROL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,1,9,2,354611c8-73b8-11ed-ba7b-84fdd1f90de3
MERCHANT TRIBE ELDER,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,1,9,2,354612bd-73b8-11ed-ba7b-84fdd1f90de3
WORKER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,19,1,9,2,354613a8-73b8-11ed-ba7b-84fdd1f90de3
SHIELD WORKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,18,1,9,2,3546167e-73b8-11ed-ba7b-84fdd1f90de3
WOMAN ON PA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,18,1,9,2,354617a8-73b8-11ed-ba7b-84fdd1f90de3
BORDER TRIBE ELDER,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,1,8,2,3546189b-73b8-11ed-ba7b-84fdd1f90de3
ANTON VANKO,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,16,1,8,2,3546199e-73b8-11ed-ba7b-84fdd1f90de3
CARINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,1,8,2,35461a78-73b8-11ed-ba7b-84fdd1f90de3
JET PILOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,16,1,8,2,35461b14-73b8-11ed-ba7b-84fdd1f90de3
COMPUTER VOICE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,15,1,7,2,35461bb4-73b8-11ed-ba7b-84fdd1f90de3
EINHERJAR LIEUTENANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,1,7,2,35461c49-73b8-11ed-ba7b-84fdd1f90de3
MAN ON PA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,15,1,7,2,35461cdb-73b8-11ed-ba7b-84fdd1f90de3
MERCENARY #1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,7,2,35461d6f-73b8-11ed-ba7b-84fdd1f90de3
OBLO,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,15,1,7,2,35461e0f-73b8-11ed-ba7b-84fdd1f90de3
STREET VENDOR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,14,1,7,2,35461ea6-73b8-11ed-ba7b-84fdd1f90de3
COLLEGE GIRL 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,13,1,6,2,35461f39-73b8-11ed-ba7b-84fdd1f90de3
SECURITY OFFICER,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,13,1,6,2,35461fd7-73b8-11ed-ba7b-84fdd1f90de3
STARK’S ENGINEER,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,1,6,2,3546206e-73b8-11ed-ba7b-84fdd1f90de3
YOUNG COP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,13,1,6,2,35462103-73b8-11ed-ba7b-84fdd1f90de3
COUNCILMAN YEN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,1,6,2,354621bb-73b8-11ed-ba7b-84fdd1f90de3
GUARDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,1,6,2,35462258-73b8-11ed-ba7b-84fdd1f90de3
IAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,1,6,2,35462316-73b8-11ed-ba7b-84fdd1f90de3
PARK RANGER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,12,1,6,2,354623b2-73b8-11ed-ba7b-84fdd1f90de3
PARTY GUEST,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,11,2,5,1,35462452-73b8-11ed-ba7b-84fdd1f90de3
CAR JACKER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,11,1,5,2,354624e9-73b8-11ed-ba7b-84fdd1f90de3
FEMALE CARRIER BRIDGE TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,1,5,2,3546257e-73b8-11ed-ba7b-84fdd1f90de3
GERMAN OLD MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,1,5,2,35462614-73b8-11ed-ba7b-84fdd1f90de3
GOVERNMENT OFFICIAL #2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,11,1,5,2,354626a7-73b8-11ed-ba7b-84fdd1f90de3
GUARD #1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,11,1,5,2,35462753-73b8-11ed-ba7b-84fdd1f90de3
LIMBANI,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,5,2,354627e9-73b8-11ed-ba7b-84fdd1f90de3
SCANNER,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,11,1,5,2,354628ba-73b8-11ed-ba7b-84fdd1f90de3
SCIENTIST #1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,11,1,5,2,35462956-73b8-11ed-ba7b-84fdd1f90de3
UN STAFFER,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,5,2,354629ef-73b8-11ed-ba7b-84fdd1f90de3
WARDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,1,5,2,35462a8b-73b8-11ed-ba7b-84fdd1f90de3
BITCHING-BETTY,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,10,1,5,2,35462b25-73b8-11ed-ba7b-84fdd1f90de3
FRIGHTENED PILOT,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,10,1,5,2,35462bb7-73b8-11ed-ba7b-84fdd1f90de3
HISTORY TEACHER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10,1,5,2,35462c4b-73b8-11ed-ba7b-84fdd1f90de3
LINDA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,5,2,35462cf0-73b8-11ed-ba7b-84fdd1f90de3
MARTINEX,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,10,1,5,2,35462d87-73b8-11ed-ba7b-84fdd1f90de3
MILITANT LEADER,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,5,2,35462e39-73b8-11ed-ba7b-84fdd1f90de3
YOUNG BLACK KID,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,5,2,35462edc-73b8-11ed-ba7b-84fdd1f90de3
ALETA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,9,1,4,2,35462f73-73b8-11ed-ba7b-84fdd1f90de3
AYO,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,4,2,3546300c-73b8-11ed-ba7b-84fdd1f90de3
COLLEGE GIRL 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,1,4,2,354630ab-73b8-11ed-ba7b-84fdd1f90de3
COUSIN CARLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,1,4,2,3546315a-73b8-11ed-ba7b-84fdd1f90de3
DODC AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,9,1,4,2,3546320a-73b8-11ed-ba7b-84fdd1f90de3
ELDERLY WOMAN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,4,2,354632aa-73b8-11ed-ba7b-84fdd1f90de3
MARJORIE,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,9,1,4,2,3546334f-73b8-11ed-ba7b-84fdd1f90de3
OFFICER #2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,9,1,4,2,354633f5-73b8-11ed-ba7b-84fdd1f90de3
PEPPER'S ASSISTANT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,9,1,4,2,354634ce-73b8-11ed-ba7b-84fdd1f90de3
A1 NATASHA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2,3546359d-73b8-11ed-ba7b-84fdd1f90de3
BARTENDER,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,8,1,4,2,35463643-73b8-11ed-ba7b-84fdd1f90de3
HIDEOUS RABBIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2,354636d9-73b8-11ed-ba7b-84fdd1f90de3
HYDRA DISPATCH,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2,35463771-73b8-11ed-ba7b-84fdd1f90de3
JAN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2,35463807-73b8-11ed-ba7b-84fdd1f90de3
PYM TECH SECURITY GUARD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2,3546389a-73b8-11ed-ba7b-84fdd1f90de3
TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,8,1,4,2,3546392f-73b8-11ed-ba7b-84fdd1f90de3
SOLDIERS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,2,3,1,354639ff-73b8-11ed-ba7b-84fdd1f90de3
FBI AGENT 1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7,1,3,2,35463aa8-73b8-11ed-ba7b-84fdd1f90de3
REPORTER # 1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,7,1,3,2,35463b57-73b8-11ed-ba7b-84fdd1f90de3
THAI WAITER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7,1,3,2,35463bfd-73b8-11ed-ba7b-84fdd1f90de3
VANESSA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,1,3,2,35463c9b-73b8-11ed-ba7b-84fdd1f90de3
WOMAN ON TRAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,1,3,2,35463d33-73b8-11ed-ba7b-84fdd1f90de3
A1 HULK,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,3,2,35463dcb-73b8-11ed-ba7b-84fdd1f90de3
CHARLIE-27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6,1,3,2,35463e6a-73b8-11ed-ba7b-84fdd1f90de3
DELI CLERK,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,1,3,2,35463f04-73b8-11ed-ba7b-84fdd1f90de3
FEMALE NURSE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,1,3,2,35463f9c-73b8-11ed-ba7b-84fdd1f90de3
HEATHER,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,1,3,2,3546403b-73b8-11ed-ba7b-84fdd1f90de3
HYDRA LIEUTENANT,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,1,3,2,354640de-73b8-11ed-ba7b-84fdd1f90de3
MAIDEN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,3,2,35464174-73b8-11ed-ba7b-84fdd1f90de3
SKRULL TECH,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,1,3,2,35464208-73b8-11ed-ba7b-84fdd1f90de3
STUDENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,1,3,2,354642a4-73b8-11ed-ba7b-84fdd1f90de3
BOTH,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,1,2,2,35464339-73b8-11ed-ba7b-84fdd1f90de3
CUSTODIAN,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,2,354643cf-73b8-11ed-ba7b-84fdd1f90de3
KLAUE'S MERCENARY,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,2,35464467-73b8-11ed-ba7b-84fdd1f90de3
NAVID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,2,2,354644fc-73b8-11ed-ba7b-84fdd1f90de3
YOUNG DOCTOR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,2,35464598-73b8-11ed-ba7b-84fdd1f90de3
BUCKY,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,2,35464652-73b8-11ed-ba7b-84fdd1f90de3
SKRULL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,1,2,2,35464703-73b8-11ed-ba7b-84fdd1f90de3
DECATHLON TEAM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,2,354647b4-73b8-11ed-ba7b-84fdd1f90de3
HAPPY'S NURSE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1,1,2,35464b33-73b8-11ed-ba7b-84fdd1f90de3
TV REPORTER’S VOICE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,235,1,235,1,35464bee-73b8-11ed-ba7b-84fdd1f90de3
NARRATOR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,197,1,197,1,35464c84-73b8-11ed-ba7b-84fdd1f90de3
VIDEO VOICE OVER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,1,115,1,35464d18-73b8-11ed-ba7b-84fdd1f90de3
BBC ANCHOR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,1,89,1,35464df3-73b8-11ed-ba7b-84fdd1f90de3
STONEHENGE TV NEWS REPORTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,73,1,73,1,35464e8d-73b8-11ed-ba7b-84fdd1f90de3
ACTOR ODIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,69,1,69,1,35464f25-73b8-11ed-ba7b-84fdd1f90de3
MAC GARGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,68,1,68,1,35464fc1-73b8-11ed-ba7b-84fdd1f90de3
ASGARDIAN PA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,67,1,35465059-73b8-11ed-ba7b-84fdd1f90de3
THOR/SELVIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,55,1,55,1,354650ed-73b8-11ed-ba7b-84fdd1f90de3
HOSPITAL NEWS REPORTER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,41,1,41,1,3546518f-73b8-11ed-ba7b-84fdd1f90de3
LIBRARIAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35,1,35,1,35465229-73b8-11ed-ba7b-84fdd1f90de3
MAN ON THE RADIO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34,1,34,1,354652be-73b8-11ed-ba7b-84fdd1f90de3
WAITRESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,31,1,31,1,3546534e-73b8-11ed-ba7b-84fdd1f90de3
JOAN RIVERS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28,1,28,1,354653eb-73b8-11ed-ba7b-84fdd1f90de3
VERS' BROTHER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,1,26,1,3546547f-73b8-11ed-ba7b-84fdd1f90de3
MALE REPORTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,1,24,1,35465511-73b8-11ed-ba7b-84fdd1f90de3
THE SENATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,1,24,1,354655b1-73b8-11ed-ba7b-84fdd1f90de3
STARK'S ASSISTANT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1,23,1,3546566a-73b8-11ed-ba7b-84fdd1f90de3
LOKI/STEVE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,22,1,35465711-73b8-11ed-ba7b-84fdd1f90de3
MR. COBBWELL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22,1,22,1,354657a6-73b8-11ed-ba7b-84fdd1f90de3
CULL OBSIDIAN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,21,1,35465841-73b8-11ed-ba7b-84fdd1f90de3
NEWS ANCHOR #2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,21,1,354658ec-73b8-11ed-ba7b-84fdd1f90de3
NEWS ANCHOR #5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,21,1,354659ab-73b8-11ed-ba7b-84fdd1f90de3
BILL MAHER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,1,20,1,35465a4d-73b8-11ed-ba7b-84fdd1f90de3
BOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,1,20,1,35465ae0-73b8-11ed-ba7b-84fdd1f90de3
CRAMER,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,1,19,1,35465b74-73b8-11ed-ba7b-84fdd1f90de3
FRENCH AMBASSADOR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,19,1,35465c0b-73b8-11ed-ba7b-84fdd1f90de3
CHAD DAVIS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,1,18,1,35465cbf-73b8-11ed-ba7b-84fdd1f90de3
EXPO ANNOUNCER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,1,17,1,35465d62-73b8-11ed-ba7b-84fdd1f90de3
PRIEST,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,17,1,35465dfa-73b8-11ed-ba7b-84fdd1f90de3
ASGARDIAN NURSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,1,16,1,35465fe2-73b8-11ed-ba7b-84fdd1f90de3
ATTACHE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,16,1,35466097-73b8-11ed-ba7b-84fdd1f90de3
BAILIFF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,16,1,16,1,3546612b-73b8-11ed-ba7b-84fdd1f90de3
LITTLE BOY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,1,16,1,354661c4-73b8-11ed-ba7b-84fdd1f90de3
NEWS ANCHOR #3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,16,1,35466257-73b8-11ed-ba7b-84fdd1f90de3
MALE CITIZEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,1,15,1,354662e8-73b8-11ed-ba7b-84fdd1f90de3
NIGERIAN MILITANT #2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,15,1,35466379-73b8-11ed-ba7b-84fdd1f90de3
NEWS REPORTER #1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,1,14,1,3546642d-73b8-11ed-ba7b-84fdd1f90de3
TAXI DRIVER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,14,1,354664c6-73b8-11ed-ba7b-84fdd1f90de3
CREW,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,1,13,1,35466558-73b8-11ed-ba7b-84fdd1f90de3
OFFICER FITZGIBBON,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,1,13,1,354665f2-73b8-11ed-ba7b-84fdd1f90de3
SHIELD PILOT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,1,13,1,35466687-73b8-11ed-ba7b-84fdd1f90de3
A1 CLINT BARTON,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,1,3546671a-73b8-11ed-ba7b-84fdd1f90de3
BIKER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1,12,1,354667be-73b8-11ed-ba7b-84fdd1f90de3
CADETS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1,12,1,35466854-73b8-11ed-ba7b-84fdd1f90de3
MAN ON PA #1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,1,354668e8-73b8-11ed-ba7b-84fdd1f90de3
MAN ON SPEAKERS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,1,3546697b-73b8-11ed-ba7b-84fdd1f90de3
NOVAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,1,12,1,35466a12-73b8-11ed-ba7b-84fdd1f90de3
